epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,25518.9,0.61177,1.21846,1.13374,0.72876,0.69936,0.75599,0.65166,0.61176,1.0798,1.16115,3.14452e-05,3.14452e-05,3.14452e-05
40,26147.6,0.60261,1.21854,1.12539,0.68608,0.7252,0.76,0.65578,0.61267,1.06979,1.15762,2.89306e-05,2.89306e-05,2.89306e-05
41,26816.4,0.52014,1.21965,1.10806,0.66059,0.7221,0.74364,0.64151,0.61074,1.09838,1.15997,2.6416e-05,2.6416e-05,2.6416e-05
42,27464.2,0.49597,1.12923,1.0871,0.69033,0.72892,0.75255,0.64909,0.61368,1.07763,1.16249,2.39014e-05,2.39014e-05,2.39014e-05
43,28117.9,0.49718,1.09433,1.09045,0.68104,0.72781,0.75619,0.65357,0.59942,1.06927,1.14771,2.13868e-05,2.13868e-05,2.13868e-05
44,28735.2,0.48972,1.05909,1.07342,0.71019,0.70734,0.75747,0.65586,0.59672,1.04379,1.14892,1.88722e-05,1.88722e-05,1.88722e-05
45,29376.7,0.49518,1.05349,1.08294,0.71451,0.72394,0.76321,0.66108,0.59694,1.04288,1.14516,1.63576e-05,1.63576e-05,1.63576e-05
46,30002.9,0.4817,1.05379,1.0739,0.72383,0.72553,0.76323,0.65983,0.59281,1.03388,1.14055,1.3843e-05,1.3843e-05,1.3843e-05
47,30630.6,0.47431,1.01495,1.07198,0.72644,0.70804,0.76113,0.66145,0.58999,1.03748,1.13847,1.13284e-05,1.13284e-05,1.13284e-05
48,31190,0.47985,1.01471,1.06808,0.70624,0.73269,0.76863,0.66486,0.5946,1.03076,1.1403,8.8138e-06,8.8138e-06,8.8138e-06
49,31767.3,0.48027,1.01517,1.07343,0.70471,0.74062,0.7681,0.66549,0.59325,1.02168,1.1391,6.2992e-06,6.2992e-06,6.2992e-06
50,32328.2,0.46618,0.98496,1.06062,0.69074,0.74332,0.77001,0.66628,0.59242,1.02142,1.13771,3.7846e-06,3.7846e-06,3.7846e-06
